Instancia,Caso,Ejecucion,HV
KC20-2fl-1rl.dat,1,1,3.7721470147
KC20-2fl-1rl.dat,1,2,3.47436387835
KC20-2fl-1rl.dat,1,3,3.55554994533
KC20-2fl-1rl.dat,1,4,3.50119351377
KC20-2fl-1rl.dat,1,5,3.82519355529
KC20-2fl-1rl.dat,1,6,3.58591372289
KC20-2fl-1rl.dat,1,7,3.68896851924
KC20-2fl-1rl.dat,1,8,3.82061571814
KC20-2fl-1rl.dat,1,9,3.74181658692
KC20-2fl-1rl.dat,1,10,3.61835339242
KC20-2fl-1rl.dat,2,1,3.30684792388
KC20-2fl-1rl.dat,2,2,3.38798074046
KC20-2fl-1rl.dat,2,3,3.23685381324
KC20-2fl-1rl.dat,2,4,3.19872527281
KC20-2fl-1rl.dat,2,5,3.20379393821
KC20-2fl-1rl.dat,2,6,3.37022726599
KC20-2fl-1rl.dat,2,7,3.34675069572
KC20-2fl-1rl.dat,2,8,3.2920100916
KC20-2fl-1rl.dat,2,9,3.24696556487
KC20-2fl-1rl.dat,2,10,3.18539198196
KC20-2fl-1rl.dat,3,1,3.35594511196
KC20-2fl-1rl.dat,3,2,3.25640401727
KC20-2fl-1rl.dat,3,3,3.57142322682
KC20-2fl-1rl.dat,3,4,3.50164184932
KC20-2fl-1rl.dat,3,5,3.49420393433
KC20-2fl-1rl.dat,3,6,3.35554413155
KC20-2fl-1rl.dat,3,7,3.434071375
KC20-2fl-1rl.dat,3,8,3.41199697883
KC20-2fl-1rl.dat,3,9,3.39279209717
KC20-2fl-1rl.dat,3,10,3.4171966717
KC20-2fl-1rl.dat,4,1,3.57877773538
KC20-2fl-1rl.dat,4,2,3.52356410164
KC20-2fl-1rl.dat,4,3,3.42866481376
KC20-2fl-1rl.dat,4,4,3.5787543852
KC20-2fl-1rl.dat,4,5,3.1902589326
KC20-2fl-1rl.dat,4,6,3.57594522609
KC20-2fl-1rl.dat,4,7,3.43667251615
KC20-2fl-1rl.dat,4,8,3.40430356371
KC20-2fl-1rl.dat,4,9,3.34439134271
KC20-2fl-1rl.dat,4,10,3.28537218092
KC20-2fl-1rl.dat,5,1,3.48067294604
KC20-2fl-1rl.dat,5,2,3.51416987677
KC20-2fl-1rl.dat,5,3,3.56142500778
KC20-2fl-1rl.dat,5,4,3.15842782554
KC20-2fl-1rl.dat,5,5,3.62871930549
KC20-2fl-1rl.dat,5,6,3.48874526573
KC20-2fl-1rl.dat,5,7,3.6096825317
KC20-2fl-1rl.dat,5,8,3.44359459727
KC20-2fl-1rl.dat,5,9,3.61646884228
KC20-2fl-1rl.dat,5,10,3.63666462267
KC20-2fl-1rl.dat,6,1,3.28026333232
KC20-2fl-1rl.dat,6,2,3.42680915023
KC20-2fl-1rl.dat,6,3,3.49386460225
KC20-2fl-1rl.dat,6,4,3.41722133185
KC20-2fl-1rl.dat,6,5,3.54078590054
KC20-2fl-1rl.dat,6,6,3.54356576606
KC20-2fl-1rl.dat,6,7,3.43948688223
KC20-2fl-1rl.dat,6,8,3.43207143086
KC20-2fl-1rl.dat,6,9,3.44593542456
KC20-2fl-1rl.dat,6,10,3.76677419026
KC20-2fl-1rl.dat,7,1,3.28444460944
KC20-2fl-1rl.dat,7,2,3.5209577123
KC20-2fl-1rl.dat,7,3,3.32313191872
KC20-2fl-1rl.dat,7,4,3.07504044316
KC20-2fl-1rl.dat,7,5,3.48019045662
KC20-2fl-1rl.dat,7,6,3.3056709181
KC20-2fl-1rl.dat,7,7,3.2615154462
KC20-2fl-1rl.dat,7,8,3.61194596109
KC20-2fl-1rl.dat,7,9,3.51603187903
KC20-2fl-1rl.dat,7,10,3.31337145622
KC20-2fl-1rl.dat,8,1,3.26496618687
KC20-2fl-1rl.dat,8,2,3.23966238909
KC20-2fl-1rl.dat,8,3,3.37511814085
KC20-2fl-1rl.dat,8,4,3.49999766787
KC20-2fl-1rl.dat,8,5,3.49280807061
KC20-2fl-1rl.dat,8,6,3.54297079418
KC20-2fl-1rl.dat,8,7,3.35299201823
KC20-2fl-1rl.dat,8,8,3.35506696903
KC20-2fl-1rl.dat,8,9,3.39510568265
KC20-2fl-1rl.dat,8,10,3.35445442392
KC20-2fl-1rl.dat,9,1,3.33205768916
KC20-2fl-1rl.dat,9,2,3.20221350258
KC20-2fl-1rl.dat,9,3,3.24046840846
KC20-2fl-1rl.dat,9,4,3.55864045703
KC20-2fl-1rl.dat,9,5,3.6161734383
KC20-2fl-1rl.dat,9,6,3.44693556342
KC20-2fl-1rl.dat,9,7,3.51683803113
KC20-2fl-1rl.dat,9,8,3.24141847529
KC20-2fl-1rl.dat,9,9,3.33060520414
KC20-2fl-1rl.dat,9,10,3.30108923072
KC20-2fl-1rl.dat,10,1,3.52068208168
KC20-2fl-1rl.dat,10,2,3.48915747648
KC20-2fl-1rl.dat,10,3,3.56358419353
KC20-2fl-1rl.dat,10,4,3.43025067027
KC20-2fl-1rl.dat,10,5,3.48973690643
KC20-2fl-1rl.dat,10,6,3.27856376369
KC20-2fl-1rl.dat,10,7,3.39598918744
KC20-2fl-1rl.dat,10,8,3.52235976333
KC20-2fl-1rl.dat,10,9,3.40122246555
KC20-2fl-1rl.dat,10,10,3.32522728682
KC20-2fl-1rl.dat,11,1,3.16548368887
KC20-2fl-1rl.dat,11,2,3.14208771953
KC20-2fl-1rl.dat,11,3,3.07047211471
KC20-2fl-1rl.dat,11,4,3.14586065271
KC20-2fl-1rl.dat,11,5,3.45215306657
KC20-2fl-1rl.dat,11,6,3.18121375779
KC20-2fl-1rl.dat,11,7,3.10832620913
KC20-2fl-1rl.dat,11,8,3.32096752871
KC20-2fl-1rl.dat,11,9,2.8913644718
KC20-2fl-1rl.dat,11,10,3.09171372508
Gar60-2fl-1rl.dat,1,1,3.90267791538
Gar60-2fl-1rl.dat,1,2,3.62420715497
Gar60-2fl-1rl.dat,1,3,3.55144097686
Gar60-2fl-1rl.dat,1,4,3.55077030833
Gar60-2fl-1rl.dat,1,5,3.67143458123
Gar60-2fl-1rl.dat,1,6,3.66227062435
Gar60-2fl-1rl.dat,1,7,3.73425528504
Gar60-2fl-1rl.dat,1,8,3.5966787234
Gar60-2fl-1rl.dat,1,9,3.80746029048
Gar60-2fl-1rl.dat,1,10,3.58984991782
Gar60-2fl-1rl.dat,2,1,2.43317248854
Gar60-2fl-1rl.dat,2,2,2.3418580965
Gar60-2fl-1rl.dat,2,3,2.53461248067
Gar60-2fl-1rl.dat,2,4,2.44507514789
Gar60-2fl-1rl.dat,2,5,2.36121004258
Gar60-2fl-1rl.dat,2,6,2.29455914002
Gar60-2fl-1rl.dat,2,7,2.34845639833
Gar60-2fl-1rl.dat,2,8,2.53030595132
Gar60-2fl-1rl.dat,2,9,2.473452059
Gar60-2fl-1rl.dat,2,10,2.41579035512
Gar60-2fl-1rl.dat,3,1,2.77980239376
Gar60-2fl-1rl.dat,3,2,2.75102687127
Gar60-2fl-1rl.dat,3,3,2.55971701113
Gar60-2fl-1rl.dat,3,4,2.55392605716
Gar60-2fl-1rl.dat,3,5,2.77550915388
Gar60-2fl-1rl.dat,3,6,2.58454667598
Gar60-2fl-1rl.dat,3,7,2.71405778566
Gar60-2fl-1rl.dat,3,8,2.80206789366
Gar60-2fl-1rl.dat,3,9,2.65005204504
Gar60-2fl-1rl.dat,3,10,2.5419498788
Gar60-2fl-1rl.dat,4,1,2.89049081388
Gar60-2fl-1rl.dat,4,2,2.84814399035
Gar60-2fl-1rl.dat,4,3,2.82627460742
Gar60-2fl-1rl.dat,4,4,2.9690319089
Gar60-2fl-1rl.dat,4,5,2.87545569968
Gar60-2fl-1rl.dat,4,6,2.82271718497
Gar60-2fl-1rl.dat,4,7,3.04487973994
Gar60-2fl-1rl.dat,4,8,2.85064665832
Gar60-2fl-1rl.dat,4,9,2.79266350492
Gar60-2fl-1rl.dat,4,10,2.91644097131
Gar60-2fl-1rl.dat,5,1,3.12121403121
Gar60-2fl-1rl.dat,5,2,3.07290845432
Gar60-2fl-1rl.dat,5,3,3.27757494337
Gar60-2fl-1rl.dat,5,4,3.09637867316
Gar60-2fl-1rl.dat,5,5,3.07646019415
Gar60-2fl-1rl.dat,5,6,3.04637120404
Gar60-2fl-1rl.dat,5,7,3.0357489384
Gar60-2fl-1rl.dat,5,8,3.27087671754
Gar60-2fl-1rl.dat,5,9,3.08256531654
Gar60-2fl-1rl.dat,5,10,3.0351365803
Gar60-2fl-1rl.dat,6,1,3.13649391734
Gar60-2fl-1rl.dat,6,2,3.29566626901
Gar60-2fl-1rl.dat,6,3,3.13033125793
Gar60-2fl-1rl.dat,6,4,3.14885615628
Gar60-2fl-1rl.dat,6,5,3.01355504375
Gar60-2fl-1rl.dat,6,6,3.15364687666
Gar60-2fl-1rl.dat,6,7,3.05115460321
Gar60-2fl-1rl.dat,6,8,3.17536647052
Gar60-2fl-1rl.dat,6,9,3.42641249277
Gar60-2fl-1rl.dat,6,10,3.27410975654
Gar60-2fl-1rl.dat,7,1,3.13711239926
Gar60-2fl-1rl.dat,7,2,3.21773261936
Gar60-2fl-1rl.dat,7,3,3.20710700714
Gar60-2fl-1rl.dat,7,4,3.40817631856
Gar60-2fl-1rl.dat,7,5,3.27255118118
Gar60-2fl-1rl.dat,7,6,3.1647060677
Gar60-2fl-1rl.dat,7,7,3.24651449378
Gar60-2fl-1rl.dat,7,8,3.08422898336
Gar60-2fl-1rl.dat,7,9,3.07504281196
Gar60-2fl-1rl.dat,7,10,3.2203172072
Gar60-2fl-1rl.dat,8,1,3.12948425553
Gar60-2fl-1rl.dat,8,2,3.12766998529
Gar60-2fl-1rl.dat,8,3,3.08770765868
Gar60-2fl-1rl.dat,8,4,3.11083056718
Gar60-2fl-1rl.dat,8,5,3.24840627734
Gar60-2fl-1rl.dat,8,6,3.2922872825
Gar60-2fl-1rl.dat,8,7,3.19658932343
Gar60-2fl-1rl.dat,8,8,3.17196427212
Gar60-2fl-1rl.dat,8,9,3.10648777883
Gar60-2fl-1rl.dat,8,10,3.24034093134
Gar60-2fl-1rl.dat,9,1,3.19566469147
Gar60-2fl-1rl.dat,9,2,3.21255792333
Gar60-2fl-1rl.dat,9,3,3.29468609483
Gar60-2fl-1rl.dat,9,4,3.18057491771
Gar60-2fl-1rl.dat,9,5,3.13240753279
Gar60-2fl-1rl.dat,9,6,3.08480529463
Gar60-2fl-1rl.dat,9,7,3.06175388477
Gar60-2fl-1rl.dat,9,8,3.242669462
Gar60-2fl-1rl.dat,9,9,3.36880935719
Gar60-2fl-1rl.dat,9,10,3.14381632553
Gar60-2fl-1rl.dat,10,1,3.38900631627
Gar60-2fl-1rl.dat,10,2,3.25347553639
Gar60-2fl-1rl.dat,10,3,3.40523547872
Gar60-2fl-1rl.dat,10,4,3.48137812946
Gar60-2fl-1rl.dat,10,5,3.39630031206
Gar60-2fl-1rl.dat,10,6,3.17759479859
Gar60-2fl-1rl.dat,10,7,3.29500338015
Gar60-2fl-1rl.dat,10,8,3.18856406838
Gar60-2fl-1rl.dat,10,9,3.18010661026
Gar60-2fl-1rl.dat,10,10,3.10865898905
Gar60-2fl-1rl.dat,11,1,2.96753822186
Gar60-2fl-1rl.dat,11,2,2.89024663905
Gar60-2fl-1rl.dat,11,3,2.7188480601
Gar60-2fl-1rl.dat,11,4,2.84257811365
Gar60-2fl-1rl.dat,11,5,2.65045207565
Gar60-2fl-1rl.dat,11,6,2.74092629519
Gar60-2fl-1rl.dat,11,7,2.89450853763
Gar60-2fl-1rl.dat,11,8,2.87170119015
Gar60-2fl-1rl.dat,11,9,2.70284697464
Gar60-2fl-1rl.dat,11,10,2.77191156036